,index,JV_default_PCE
403,951,17.46
404,952,20.51
405,953,20.51
406,954,5.59
407,955,8.18
408,956,16.57
409,957,19.15
410,968,17.46
411,969,18.94
412,970,20.14
413,977,12.31
414,978,17.24
415,979,18.56
416,982,13.1
417,985,16.4
418,986,19.6
419,987,5.2
420,988,11.45
421,992,14.69
422,993,14.8
423,994,16.47
424,995,10.43
425,996,17.38
426,1003,11.8
427,1006,5.03
428,1007,8.08
429,1016,16.5
430,1025,
431,1035,
432,1036,
433,1050,
434,1051,
435,1052,
436,1053,
437,1054,
438,1055,
439,1056,
440,1057,
441,1060,
442,1061,17.69
443,1062,
444,1063,
445,1064,
446,1065,
447,1066,
448,1067,
449,1076,
450,1077,
451,1082,
452,1083,
453,1084,
454,1085,
455,1086,
456,1087,
457,1088,13.7
458,1089,11.6
459,1090,11.5
460,1091,9.7
461,1094,
462,1095,
463,1096,
464,1097,
465,1099,
466,1100,
467,1101,
468,1102,
469,1103,
470,1104,
471,1105,
472,1106,
473,1114,
474,1129,16.21
475,1130,19.17
476,1131,18.2
477,1132,17.3
478,1146,14.62
479,1147,17.76
480,1156,14.53
481,1157,16.28
482,1158,17.8
483,1159,17.4
484,1161,12.48
485,1164,14.18
486,1165,11.65
487,1166,13.39
488,1167,11.17
489,1168,13.8
490,1170,16.5
491,1197,12.9
492,1198,14.07
493,1199,11.22
494,1200,16.51
495,1201,16.71
496,1202,12.74
497,1216,11.1
498,1217,16.3
499,1218,11.1
500,1219,16.3
501,1228,3.3
502,1229,6.8
503,1230,8.4
504,1231,14.9
505,1237,18.1
506,1240,16.02
507,1241,19.05
508,1242,18.03
509,1243,20.58
510,1244,
511,1245,
512,1246,
513,1247,
514,1248,
515,1249,10.5
516,1250,11.72
517,1251,10.61
518,1252,11.19
519,1253,11.08
520,1254,16.73
521,1255,17.67
522,1256,14.39
523,1257,17.42
524,1258,15.72
525,1259,16.73
526,1260,17.67
527,1261,14.39
528,1262,17.42
529,1263,15.72
530,1268,19.6
531,1277,12.1
